ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
231290,202102,38068,111935,31721,99304,5312,16385,14708,45837,20020,62222
231300,202102,4112,11189,3254,9489,175,563,2219,6315,2394,6878
231310,202102,7479,18944,5982,16217,522,1432,4057,10768,4579,12200
231320,202102,7783,21101,6109,18154,86,383,4790,14034,4876,14417
231325,202102,2450,6254,2019,5619,159,333,1418,4065,1577,4398
231330,202102,9532,27937,7936,24788,1468,4318,4192,13781,5660,18099
231335,202102,5628,14725,4815,13446,71,316,4250,11731,4321,12047
231340,202102,17972,53926,16228,50852,1277,3962,12044,38117,13321,42079
231350,202102,15758,42839,14433,40936,245,870,12987,36496,13232,37366
231355,202102,4392,12882,3973,12093,225,726,3109,9355,3334,10081
231360,202102,7438,22168,6440,20443,271,943,5125,16220,5396,17163
231370,202102,2163,5924,1739,5164,34,99,1327,3938,1361,4037
231375,202102,4270,13244,3906,12653,124,557,3275,10481,3399,11038
231380,202102,6040,16278,5470,15491,195,502,4446,12766,4641,13268
231390,202102,3305,9569,2967,8999,120,452,2198,6489,2318,6941
231395,202102,4036,11656,3357,10589,406,1284,2014,6415,2420,7699
231400,202102,9801,27795,8234,24952,252,1063,6263,18556,6515,19619
231410,202102,14792,45093,13544,43049,625,2102,10962,34679,11587,36781
240010,202102,2624,6781,2062,5777,209,585,1226,3386,1435,3971
240020,202102,12691,34987,10654,31389,635,2270,7084,20539,7719,22809
240030,202102,2948,7008,2649,6566,100,268,2295,5646,2395,5914
240040,202102,818,2336,696,2110,30,115,474,1388,504,1503
240050,202102,3312,8775,2685,7648,50,152,2061,5766,2111,5918
240060,202102,1387,3684,1143,3244,24,87,937,2605,961,2692
240070,202102,2136,6094,1933,5669,200,600,1387,3973,1587,4573
240080,202102,2921,7797,2374,6832,67,244,1804,5109,1871,5353
240090,202102,2241,5478,1837,4806,19,53,1545,4004,1564,4057
240100,202102,10191,24683,8141,21066,192,563,6424,16080,6616,16643
240110,202102,4525,12722,3812,11439,176,643,2788,8189,2964,8832
240120,202102,3260,8981,2635,8216,180,595,1890,6034,2070,6629
240130,202102,3702,7593,3079,6788,30,86,2820,6140,2850,6226
240140,202102,1712,5138,1474,4667,151,524,1013,3186,1164,3710
240145,202102,6449,17791,5279,15809,804,2466,3013,9127,3817,11593
